category,subCategory,donor,correct title
Government,Italy,BERGAMO DECENTRALIZED COOP COMMITTEE,
Other,Private Company,Better Shelter,
Other,Foundation,BILL AND MELINDA GATES FOUNDATION,
Other,Private Company,Boy Story LLC,
European Union,,BRITISH COMMISSION,
Government,UK,BRITISH HIGH COMMISSION - SOLO,
Other,Private Company,CADBURY COCOA PARTNERSHIP PROGRAMME,
Other,Financial Institutions,CAJA GRANADA,
Government,,CANADIAN HIGH COMMISSION,
Government,,CANADIAN INTERNATIONAL DEVELOPMENT AGENCY,
Other,"Academic, training and research institutions",Caribbean Association of Judicial Officers,
Other,Financial Institutions,CARIBBEAN DEVELOPMENT BANK,
Government,Italy,CECINA DECENTRALIZED COOP COMMITTEE,
Other,Financial Institutions,CENTRAL AMER BANK FOR EOCNOMIC INTEGRATION,
Government,Argentina,CHI-GOBIERNO DE ARGENTINA,
Government,Chile,CHI-GOBIERNO DE CHILE,
Other,Private Company,COCA COLA COMPANY,
Government,Colombia,COL-GOBIERNO DE COLOMBIA,
Government,Colombia,COL-MINISTERIO  DE EDUCACION N,
Government,Italy,COMITE DE COOPERACION DESCENTRALIZADA LIVORNO,
Government,Italy,Comite de Parma,
Government,Italy,COMITE DE SIENA PARA LA COOPERACION DECENTRALIZADA,
Other,,COMITE PARA LA COOPERACION ZONA DEL CUERO,
Other,IGO,Common Market for Eastern and Southern Africa (COMESA),
Government,Italy,COMO DECENTRALIZED COOP COMMITTEE,
Other,IGO,COMUNIDADE DOS PAISES DE LINGUQ PORTUGUESA (COMMUNITY OF PORTUGUESE SPEAKING COUNTRIES),
,,CONCERN,
Other,NGO,Conservation des Especes et des populations Animales (CEPA),
,,Cooperativa Vega Real,
Other,NGO,CORPORACION PROGRAMA DESARROLLO PARA LA PAZ DE ANTIOQUIA,
Government,Bahrain,COUNCIL OF REPRESENTATIVE,
Other,Private company,CPR-PRIVATE SECTOR,
Other,,CREMONA DECENTRALIZED COOR COMMITTEE,
Other,,CUBA - ONG TOTAL,
Other,Private company,Damas Company Pvt. Ltd.,
Government,Belgium,"De Watergroep, Belgium",
Government,Spain,Departamento de Coopercian lgualded Ayuntamiento de san Sebastain,
Government,Australia,Department  of the premier and  Cabinet South Australia,
Government,United Kingdom,DEPARTMENT FOR INTERNATIONAL DEVELOPMENT (DFID),
Government,Canada,DEPARTMENT OF FOREIGN AFFAIRS AND INTERNATIONAL TRADE (DFAIT) GOVERMENT OF CANADA,
Government,Canada,"Department of Foreign Affairs, Trade and Development",
Other,,"DERASAT - Bahrain Center for Strategic,International and Energy Studies",
Other,,DESCENTRALIZED COOPETATION COMMITTEE HEGOA,
Government,Germany,Deutsche Gesellschaft f√É¬ºr Internationale Zusammenarbeit,
,,Deutsche Gesellschaft fÃ¼r Internationale Zusammenarbeit,
Other,Private company,Dhivehi Raajjeyge Gulhun Plc,
Other,,Digital Good,
UN Agencies,,ECONOMIC COMMISSION FOR LATIN AMERICA AND THE CARIBBEAN,
Other,,ECONOMIC COMMUNITY OF WEST AFRICAN STATES,
,,"Edesur Dominicana, SA",
Other,,Enhanced Integrated Framework for Trade  related  Technical Assistance  to LDC's Trust Fund manager,
Other,Nonprofit,EUKAL FONDOA,
European Union,,European Civil Protection & Humanitarian Aid Operations,
European Union,,EUROPEAN COMMISSION,
European Union,,EUROPEAN ECONOMIC COMMUNITY,
Other,,Expanded DaO Funding Window,
Other,,FAMSI DECENTRALIZED COOP COMMITTEE,
Other,,FarEastbroad Korea,
Government,,"FEDERAL MINISTRY FOR THE ENVIRONMENT, NATURE CONVSERVATION AND NUCLEAR SAFETY.",
Other,NGO,FELCODE,
Other,,FELCOS UMBRIA,
Government,Belgium,"FLANDERS INTERNATIONAL COOPERATION AGNECY, FLEMISH GOVERNMENT",
Government,Belgium,FLINDERS ISLAND COUNCIL,
Other,"Academic, training and research institutions ","Flinders University, Australia",
Other,,FLORENCIA  DECENTRALIZED COOP COMMITTEE,
Other,,FOLIGNO DECENTRALIZED COOP,
Other,,FONDO CANTABRIA,
Other,,FONDO PROVINCIAL MILANES,
Other,,FONDO PROVINCIAL MILANES PARA LA COOPERACION INTERNACIONAL,
UN Agencies,,FOOD AND AGRICULTURE ORGANIZATION OF THE UNITED NATIONS,
Government,,Foreign & Commonwealth Office,
Government,,"Foreign, Commonwealth & Development Office",
Vertical Funds,,Forest Carbon Partnership Facility Trustee,
,,Fundação Oriente,
Other,Private Company,FUNDACION POPULAR INC,
Other,,FUNDACION ROSA LUXEMBURGO,
,,General  Organization  for Youth & Sport,General Organization for Youth & Sport
Other,,General Organization for Youth & Sport,
,,Gildan Dominicana,
Vertical Funds,,Global Environment Fund Truste,
UN Agencies,,"GLOBAL FUND TO FIGHT AIDS, TUBERCULOSIS",
Other,NGO,Global Initiative Against Transnational Organized Crime,
Other,,Global Inner Peace,
Government,Algeria,GOVERNMENT OF ALGERIA,
Government,Angola,GOVERNMENT OF ANGOLA,
Government,Anguilla,GOVERNMENT OF ANGUILLA,
Government,Aruba,GOVERNMENT OF ARUBA,
Government,Australia,GOVERNMENT OF AUSTRALIA,
Government,Austria,GOVERNMENT OF AUSTRIA,
Government,Bahrain,GOVERNMENT OF BAHRAIN,
Government,Belgium,GOVERNMENT OF BELGIUM,
,,GOVERNMENT OF BELIZE,
Government,Benin,GOVERNMENT OF BENIN,
Government,Brazil,GOVERNMENT OF BRAZIL,
Government,Burkina Faso,GOVERNMENT OF BURKINA FASO,
Government,Canada,GOVERNMENT OF CANADA,
Government,Cabo Verde,GOVERNMENT OF CAPE VERDE,
,,GOVERNMENT OF CAYMAN ISLANDS,
Government,Chad,GOVERNMENT OF CHAD,
Government,Chile,GOVERNMENT OF CHILE,
Government,China,GOVERNMENT OF CHINA,
Government,Comoros,GOVERNMENT OF COMOROS,
Government,Denmark,GOVERNMENT OF DENMARK,
Government,Dominica,GOVERNMENT OF DOMINICA,
Government,Dominican Republic,GOVERNMENT OF DOMINICAN REPUBLIC,
Government,El Salvador,GOVERNMENT OF EL SALVADOR,
Government,Equatorial Guinea,GOVERNMENT OF EQUATORIAL GUINEA,
,,GOVERNMENT OF FIJI,
Government,Finland,GOVERNMENT OF FINLAND,
Government,France,GOVERNMENT OF FRANCE,
Government,Germany,GOVERNMENT OF GERMANY,
Government,Ghana,GOVERNMENT OF GHANA,
Government,Grenada,GOVERNMENT OF GRENADA,
Government,Guinea,GOVERNMENT OF GUINEA,
Government,Guinea-Bissau,GOVERNMENT OF GUINEA-BISSAU,
Government,Guyana,GOVERNMENT OF GUYANA,
Government,Haiti,GOVERNMENT OF HAITI,
Government,Hungary,GOVERNMENT OF HUNGARY,
,,GOVERNMENT OF ICELAND,
Government,India,GOVERNMENT OF INDIA,
Government,Ireland,GOVERNMENT OF IRELAND,
Government,Italy,GOVERNMENT OF ITALY,
Government,Jamaica,GOVERNMENT OF JAMAICA,
Government,Japan,GOVERNMENT OF JAPAN,
Government,Kazakhstan,GOVERNMENT OF KAZAKHSTAN,
Government,Kuwait,GOVERNMENT OF KUWAIT,
,,GOVERNMENT OF LIECHTENSTEIN,
Government,Luxembourg,GOVERNMENT OF LUXEMBOURG,
Government,Maldives,GOVERNMENT OF MALDIVES,
Government,Marshall Islands,GOVERNMENT OF MARSHAL ISLANDS,
Government,Mauritius,GOVERNMENT OF MAURITIUS,
Government,Mexico,GOVERNMENT OF MEXICO,
,,GOVERNMENT OF MOROCCO,
Government,Nauru,GOVERNMENT OF NAURU,
Government,Netherlands,GOVERNMENT OF NETHERLANDS,
Government,Netherland Antilles,GOVERNMENT OF NETHERLANDS ANTILLES,
Government,New Zealand,GOVERNMENT OF NEW ZEALAND,
Government,Niger,GOVERNMENT OF NIGER,
Government,Nigeria,GOVERNMENT OF NIGERIA,
Government,Norway,GOVERNMENT OF NORWAY,
Government,Pakistan,GOVERNMENT OF PAKISTAN,
Government,Papua New Guinea,GOVERNMENT OF PAPUA NEW GUINEA,
Government,Poland,GOVERNMENT OF POLAND,
Government,Portugal,GOVERNMENT OF PORTUGAL,
Government,Qatar,GOVERNMENT OF QATAR,
,,GOVERNMENT OF REPUBLIC OF KOREA,
Government,Romania,GOVERNMENT OF ROMANIA,
Government,Russia,GOVERNMENT OF RUSSIAN FEDERATION,
Government,Sao Tome and Principe,GOVERNMENT OF SAO TOME AND PRINCIPE,
Government,Seychelles,GOVERNMENT OF SEYCHELLES,
Government,Solomon Islands,GOVERNMENT OF SOLOMON ISLANDS,
Government,South Africa,GOVERNMENT OF SOUTH AFRICA,
Government,Spain,GOVERNMENT OF SPAIN,
Government,Sint Maarten,Government of St. Maarten,
Government,Sudan,GOVERNMENT OF SUDAN,
Government,Suriname,GOVERNMENT OF SURINAME,
Government,Sweden,GOVERNMENT OF SWEDEN,
Government,Switzerland,GOVERNMENT OF SWITZERLAND,
Government,Timor Leste,Government of Timor'Leste,
,,GOVERNMENT OF TOGO,
Government,Tokelau,GOVERNMENT OF TOKELAU,
Government,Trinidad and Tobago,GOVERNMENT OF TRINIDAD AND TOBAGO,
,,GOVERNMENT OF TRUST TERRITORY OF THE PAC,
Government,Turkey,GOVERNMENT OF TURKEY,
Government,Tuvalu,GOVERNMENT OF TUVALU,
Government,United Arab Emirates,GOVERNMENT OF UNITED ARAB EMIRATES,
Government,United Kingdom,GOVERNMENT OF UNITED KINGDOM,
Government,USA,GOVERNMENT OF UNITED STATES OF AMERICA,
Vertical Funds,,GREEN CLIMATE FUND,
Other,,GRUPO DE INVERSTIGACION E INTERCAMBIO TECNOLOGICO (GRET),
Government,Haiti,HAI-GOVERNMENT OF HAITI,
Other,,Haiti Relief Donors,
,,Home Office of the Government of the United Kingdom,
Other,,I Love  Beautiful Guyana Proje,
,,Ikea Dominicana,
Other,,INSTITUTE FOR GLOBAL ENVIRONMENTAL STRATEGIES,
,,INSTITUTO DE ESTUDIOS POLITICOS PARA AMERICA LATINA Y AFRICA,
Other,Financial Institutions,INTER-AMERICAN DEVELOPMENT BANK,
Other,,Intergovernmental Platform on,
Other,,International Budget Partnership (IBD),
UN Agencies,,INTERNATIONAL DEVELOPMENT AGENCY,
UN Agencies,,INTERNATIONAL FUND FOR AGRICULTURAL DEVELOPMENT,
UN Agencies,,INTERNATIONAL LABOUR ORGANIZATION,
UN Agencies,,INTERNATIONAL MARITIME ORGANIZATION,
UN Agencies,,INTERNATIONAL NON-GOVERNMENTAL ORGANIZATION,
UN Agencies,,INTERNATIONAL ORGANIZATION FOR MIGRATION,
Government,Ireland,Irish Aid,
Government,Italy,Italian Ministry for Foreign Affairs,
Government,Switzerland,IVC-SWISS AGENCY FOR DEVELOPMENT,
Other,,JAM - RISE Life Mgmt. Services,
Other,,JB Fernandes Memorial Trust Fu,
UN Agencies,,JOINT UNITED NATIONS PROGRAMME ON HIV/AIDS,
Other,Private Company,Jumeirah Management Services (Maldives) Pvt. Ltd,
Government,South Korea,KOREA INTERN. COOPERATION AGENCY (KOICA),
,,Korean American Association of greater New york,
,,LAURENT GARNIER SADEV94,
Other,IGO,LEAGUE OF ARAB STATES,
Government,Spain,Madrid City Council,
Other,Private Company,Maldives Aerated Water Company Pvt. Ltd.,
,,MDTFO JP PFI,
UN Joint Fund,,MDTFO/JP_Comros_One_UN_Fund,
UN Joint Fund,,MDTFO/JP_Expanded_Fund_Window,
UN Joint Fund,,MDTFO/JP_Human_Rights_Mainstre,
UN Joint Fund,,MDTFO/JP_Kiribati_One_UN_Fund,
UN Joint Fund,,MDTFO/JP_Lesotho_one_UN_Fund,
UN Joint Fund,,MDTFO/JP_Maldives_one_UN_Fund,
UN Joint Fund,,MDTFO/JP_UN_Country_Fund_PNG,
UN Joint Fund,,MDTFO/JP_UNDG_HAITI_RECONSTRUC,
UN Joint Fund,,MDTFO/UNDP CVF,
UN Joint Fund,,MDTFO\JP_MDG-F_Conflict_&_PB,
,,Medical Stores Limited Zambia,
Other,Private Company,MICROSOFT CORPORATION,
Government,,MINIST DES AFF ETRANG-FRA,
Government,,MINISTRY  OF FOREIGN AFFAIRS & COOPERATION OF SPAIN,
Government,,Ministry of  Social  developme,
,,"MINISTRY OF COMMERCE, CHINA",
Government,,"MINISTRY OF EDUCATION, TRINIDAD AND TOBAGO",
Government,,Ministry of Foreign Affairs and Trade of the Republic of korea,
Government,,"MINISTRY OF FOREIGN AFFAIRS, NORWAY",
Government,,"Ministry of Industry and Commerce,Kingdom of Bahrain",
Government,,MINISTRY OF INVESTMENT - EGYPT,
Government,,"MINISTRY OF LOCAL GOVERNMENT, TRINIDAD AND TOBAGO",
Government,,Ministry of National Security Trinidad and Tobago,
Government,,Ministry of Youth and Sport Affairs,
Other,Private Company,Mondelez Europe GmbH,
UN Agencies,,MONTREAL PROTOCOL,
,,Motor Crédito,
UN Pooled Funds,,MPTF- Apoyo a la Eficiencia Energ√É¬©tica (EE) y a la Promocion de las Fuentes Renovables de Energia en Funcion del Desarrollo Local (FRE-DL),
,,MPTF- Apoyo a la Eficiencia Energética (EE) y a la Promocion de las Fuentes Renovables de Energia en Funcion del Desarrollo Local (FRE-DL),
UN Pooled Funds,,MPTF-JP Samoa Women in Leadership (JWS00),
UN Pooled Funds,,MPTF-SDG Fund,
UN Pooled Funds,,MPTF/JP_UN PART RIGHTS DISAB,
UN Pooled Funds,,MPTFO - Joint SDG Fund (previously known as The Joint Fund for the 2030 Agenda),
,,MPTFO-Global Fund for Coral Reefs,
,,MPTFO-JP Pacific PDEP,
,,MPTFO-Pacific Insurance and Climate Adaptation Programme (PICAP),
UN Pooled Funds,,MPTFO-Spotlight Initiative Fund (SIF00),
UN Pooled Funds,,MPTFO-UN COVID-19 Response & Recovery Fund,
UN Pooled Funds,,MPTFO-UN Haiti Cholera Response MPTF,
,,MPTFO-UN Pacific Strategy Fund,
,,MPTFO/JPAA_Haiti_Rehab_Mars,
Other,Private Company,Nalahiya Trading Pvt. Ltd.,
,,National Insurance Property Development Company of Trinidad and Tobago,
Other,,NETHERLANDS TRADE UNION CONFEDERATION,
Government,New Zealand,New Zealand Agency for International Development,
Government,New Zealand,NEW ZEALAND AGY FOR INT'L DEVELOPMENT,
Other,Foundation,Oak Foundation,
Government,,OFDPM - Office of the First Deputy Prime Minister,
Government,,"Office of Disaster Preparedness and Emergency Management, Jamaica",
Government,,Office of Minister of Energy,
Government,,OFFICE OF THE HIGH COMMISSIONER FOR HUMAN RIGHTS,
,,ONG CENTRO DE INICIATIVAS PARA LA COOPERACION BATA,
,,ONG EUSKADI CUBA,
Other,Private company,Ooredoo Maldives,
Other,,OPEC Fund for International Development,
Other,Private Company,ORANTA INSURANCE COMPANY,
Other,,ORGANIZATION OF AFRICAN UNITY,
Other,,ORGANIZATION OF AMERICAN STATES,
UN Agencies,,PAN AMERICAN HEALTH ORGANIZATION,
UN Pooled Funds,,Peacebuilding Fund,
UN Agencies,,POL-UNAIDS,
Other,Private Company,PRIVATE SECTOR,
,,PROVINCIA DE PAVIA,
Other,,"Public Prosecution, Kingdom of",
Government,Qatar,Qatar Fund for Development,
Other,,RCS - Projects,
Other,,RCS - Services,
,,Reid & Compañía S.A.,
,,REPUBLIC BANK OF TRINIDAD & TO,
,,Republic of Palau,
Government,Mauritius,RODRIGUES REGIONAL ASSEMBLY,
Government,Romania,Romanian Agency for International Development Cooperation,
,,ROTARY CLUB OF SALAMANDER BAY INC,
Government,Norway,"Royal Ministry of Foreign Affair, Norway",
Government,Russia,RUS-RUSSIAN GOVERNMENT,
,,"Santo Domingo Motors Company, SA",
Government,Switzerland,SDC-Swiss Agency For Development and  Co,
,,SDC-Swiss Agency For Development and Co,
Other,Private Company,Sherritt International Cooperation,
Government,Bahrain,"Shura Council ,kingdom Of Bahrain",
Other,,SLUNJ TOWN,
,,Soneva Resorts,
Other,,South Thaufeeg Foundation,
Other,Financial Institutions,State Bank of India,
Government,Sweden,SWEDISH INTERNATIONAL BIODIVERSITY PROGRAMME (SWEDBIO),
Government,Sweden,SWEDISH INTERNATIONAL DEVELOPMENT COOPERATION (SIDA),
Government,Switzerland,SWISS AGENCY FOR DEVELOPMENT AND COOPERATION - SDC,
Government,,SYR-MINISTRY OF HEALTH,
Other,NGO,SYR-SILATECH,
Government,Bahrain,TAMKEEN(Labour Fund),
Other,,TF to health PONREPP Fund,
Other,NGO,THE FORCE OF NATURE AID FOUNDATION,
Government,Ireland,The institute of public administration,
Other,NGO,The Ocean Cleanup,
,,THE SECRETARIAT OF PACIFIC THE COMMUNITY,
UN Pooled Funds,,THE UNITED NATIONS DEMOCRACY FUND (UNDEF),
Government,Trinidad and Tobago,TOBAGO HOUSE OF ASSEMBLY,
Government,Trinidad and Tobago,TRI-THE GOVERNMENT OF TRINIDAD,
Other,,TSUNAMI DISASTER DONOR,
UN Agencies,,UN CENTRE FOR HUMAN SETTLEMENTS,
UN Agencies,,UN DEPARTMENT OF INTERNATIONAL ECONOMIC AND SOCIAL AFFAIRS,
UN Agencies,,UN Department of Safety and Security,
UN Agencies,,UN DEPT OF ECONOMIC AND SOCIAL AFFAIRS,
UN Pooled Funds,,UN Fund for International Partnerships (UNFIP) Turner Foundation,
UN Agencies,,UN HIGH COMMISSIONER FOR REFUGEES (UNHCR),
UN Agencies,,UN INDUSTRIAL DEVELOPMENT ORGANIZATION,
UN Agencies,,UN Office for Project Services,
,,UN Office in Geneva,
UN Agencies,,UN Office in Vienna,
UN Agencies,,UN Stabilization Mission in Haiti,
UN Pooled Funds,,UN Tr Fund for Human Security,
UN Agencies,,UNAIDS Budget Results Accountability Framework (UBRAF),
Other,,UNDETERMINED,
UN Pooled Funds,,UNDG Member Agencies,
UN Pooled Funds,,UNDP AS ADMINISTRATIVE AGENT FOR A JOINT PROGRAMME PASS THROUGH ARRANGEMENT,
UN Pooled Funds,,UNDP AS MA_POOLED FUNDS,
UN Agencies,,UNDP Funding Windows,
Other,IGO,Union de Naciones Suramericana,
UN Agencies,,UNITED NATIONS,
UN Agencies,,UNITED NATIONS CHILDREN'S FUND,
UN Agencies,,United Nations Development Coordination Office,
UN Agencies,,United Nations Development Fund for Women,
UN Agencies,,UNITED NATIONS DEVELOPMENT FUND FOR WOMEN (UN WOMEN),
UN Agencies,,UNITED NATIONS DEVELOPMENT PRO,
UN Agencies,,"UNITED NATIONS EDUCATIONAL, SCIENTIFIC & CULTURAL ORGANIZATION",
UN Agencies,,UNITED NATIONS ENVIRONMENT PROGRAMME,
UN Agencies,,United Nations Fund for Population Activities,
UN Agencies,,United Nations High Commissioner for Human Rights (UNHCHR),
UN Agencies,,United Nations Integrated Mission in East Timor (UNMIT),
UN Pooled Funds,,UNITED NATIONS INTER-AGENCY SECRETARIAT FOR THE INTERNATIONAL STRATEGY FOR DISASTER REDUCTION.,
UN Agencies,,United Nations International Strategy for Disaster Reduction,
UN Agencies,,United Nations Mission for Justice Support in Haiti,
UN Agencies,,United Nations Office for the Coordination of Humanitarian Affairs (UNOCHA),
,,United Nations Office on Drug and Crime,
UN Pooled Funds,,United Nations Peace and Development Trust Fund,
UN Agencies,,UNITED NATIONS POPULATION FUND,
UN Agencies,,UNITED NATIONS VOLUNTEERS,
Government,USA,UNITED STATES AGENCY FOR INTERNATIONAL DEVELOPMENT (USAID),
UN Agencies,,UNIVERSAL POSTAL UNION,
Other,"Academic, training and research institutions",UNIVERSIDAD COLUMBIA,
Other,"Academic, training and research institutions",UNIVERSIDAD DE YORK CANADA,
Other,"Academic, training and research institutions",University of Bahrain,
,,University of California - Davis Campus,
Other,"Academic, training and research institutions",UNIVERSITY OF THE WEST INDIES,
UN Pooled Funds,,"UNOCHA/Central Emergency Response Fund, CERF",
Government,Cambodia,UNV-ROYAL GOVT. OF CAMBODIA,
Government,USA,"US Department of State, Office to monitor & combat Tracking in persons.",
Government,USA,US International Narcotics√Ç¬†and√Ç¬†Law√Ç¬†Enforcement Affairs,
,,Velidhoo Adam Malimee Foundation,
Other,,VIAREGGIO DECENTRALIZED COOP COMMITTEE,
Other,Private Company,Visa Inc.,
Other,IGO,WEST AFRICAN ECONOMIC AND MONETARY UNION,
Other,Financial Institutions,WORLD BANK (INT'L. BANK FOR RECONSTRUCTION & DEVELOPMENT),
Other,Financial Institutions,WORLD BANK BORROWER,
Other,IGO,WORLD CONSERVATION UNION,
UN Agencies,,WORLD FOOD PROGRAMME,
UN Agencies,,WORLD HEALTH ORGANIZATION,
UN Agencies,,WORLD METEOROLOGICAL ORGANIZATION,
UN Agencies,,World Trade Organization,
Other,NGO,World Wildlife Fund -WWF,
