Indicator Code,Indicator,Definition,Units,Category,Subcategory,Dimension,Dataset,Source,Link,Priority,Note,# Years,# Countries
ihme-unintentional-firearm-injuries,Unintentional firearm injuries,"Unintentional death or disability resulting from a firearm. This does not include injuries where harm was intended by the person causing the injury. ICD9: E922–E922.99, E928.7. ICD10: W32–W34.9.
Unintentional firearm injuries was responsible for 20 100 deaths (95% UI 14 700–25 100) in 2019.
",% ?,Exposure to mechanical forces,None,DALY?,ihme,IHME,http://ghdx.healthdata.org/gbd-results-tool,2.0,,,
ihme-other-exposure-to-mechanical-forces,Other exposure to mechanical forces,"Unintentional death or disability resulting from contact with or threat of an animate or inanimate non-firearm object, human, or plant. This category includes miscellaneous forces such as contact with power tools and household machinery or human stampeding.
Other exposure to mechanical forces was responsible for 102 000 deaths (95% UI 78 100–117 000) in 2019. Age-standardised mortality rates (ASMRs) were highest in the low SDI quintile (1·8 per 100 000 [1·4–2·3]) and declined globally between 2010 and 2019.
",% ?,Exposure to mechanical forces,None,DALY?,ihme,IHME,http://ghdx.healthdata.org/gbd-results-tool,2.0,,,
ihme-adverse-effects-of-medical-treatment,Adverse effects of medical treatment,"Death or short-term or long-term disability sustained as the result of undergoing a procedure, treatment, or other exposure to the health-care system. This exposure can occur in inpatient admission, outpatient facilities, emergency care, or during home treatment.
Adverse effects of medical treatment were responsible for 106 000 deaths (95% UI 89 100–117 000) in 2019. The age-standardised mortality rate decreased from 1·5 per 100 000 (1·3–1·7) in 2010 to 1·4 per 100 000 (1·1–1·5) in 2019.
",% ?,Unintentional injuries,None,DALY?,ihme,IHME,http://ghdx.healthdata.org/gbd-results-tool,2.0,,30.0,41.0
ihme-animal-contact,Animal contact,"Animal contact includes deaths and injuries resulting from unintentionally being attacked, struck, impaled, bitten, stung, crushed, exposed to, or stepped on by a non-human animal. Included are ICD-9: E905–E906.99, ICD-10: W52.0–W62.9, W64–W64.9, X20–X29.9.
Animal contact (venomous and non-venomous) caused 93 500 deaths (95% UI 61 900–114 000) in 2019. 67·7% (58·2–72·2) of global deaths occurred in south Asia. Age-standardised death rates decreased by 15·9% (-25·6 to -1·8) between 2010 and 2019.
",% ?,Unintentional injuries,None,DALY?,ihme,IHME,http://ghdx.healthdata.org/gbd-results-tool,2.0,,30.0,41.0
ihme-venomous-animal-contact,Venomous animal contact,"Death or disability resulting from unintentionally being bitten by, stung by, or exposed to a venomous animal. ICD9: E905–E905.99, ICD10: W52.3, X20–X29.9.
Envenomation caused 79 700 deaths (95% UI 51 200–98 500) in 2019. Age-standardised mortality rates globally decreased from 1·2 per 100 000 (0·8–1·4) in 2010 to 1·0 per 100 000 (0·6–1·3) in 2019. 61 700 envenomation deaths (36 100–77 700) occurred in south Asia.
",% ?,Animal contact,None,DALY?,ihme,IHME,http://ghdx.healthdata.org/gbd-results-tool,2.0,,,
ihme-non-venomous-animal-contact,Non-venomous animal contact,"Death or disability resulting from unintentionally being attacked, struck, impaled, crushed, exposed to, or stepped on by a non-venomous animal.
Non-venomous animal contact was responsible for 13 700 deaths (95% UI 11 300–17 100) in 2019. 6780 deaths (5150–9440) occurred in the low SDI quintile.
",% ?,Animal contact,None,DALY?,ihme,IHME,http://ghdx.healthdata.org/gbd-results-tool,2.0,,,
ihme-foreign-body,Foreign body,"Unintentional death or bodily damage from an extraneous material or substance being within the body, including the airway, lungs, nose, and eyes.
Foreign body injuries were responsible for 6·47 million (95% UI 5·76–7·25) DALYs in 2019. The age group with the highest DALY rate in 2019 was early neonatal, which had an age-specific DALY rate of 8290 per 100 000 (6840–10 000) in 2019.
",% ?,Unintentional injuries,None,DALY?,ihme,IHME,http://ghdx.healthdata.org/gbd-results-tool,2.0,,30.0,41.0
ihme-pulmonary-aspiration-and-foreign-body-in-airway,Pulmonary aspiration and foreign body in airway,"Unintentional death or disability from inhaling, swallowing, or aspirating extraneous materials or substance that enters the airway or lungs.
Pulmonary aspiration and foreign body in airway was responsible for 109 000 deaths (95% UI 100 000–117 000) in 2019. The age-standardised mortality rate (ASMR) decreased from 1·7 per 100 000 (1·6–1·8) in 2010 to 1·5 per 100 000 (1·4–1·6) in 2019.
",% ?,Foreign body,None,DALY?,ihme,IHME,http://ghdx.healthdata.org/gbd-results-tool,2.0,,,
ihme-foreign-body-in-eyes,Foreign body in eyes,"Unintentional tissue damage from extraneous materials or substance in the orbital structure or eye.
Foreign body in eyes injury was responsible for 46·6 million (95% UI 32·5–64·5) new incident cases in 2019. New cases were most common in the 30–34 year age group (incidence 8710 per 100 000 [3530–18 800]) and in males (age-standardised incidence 8170 per 100 000 [5650–11 300]) in 2019.
",% ?,Foreign body,None,DALY?,ihme,IHME,http://ghdx.healthdata.org/gbd-results-tool,2.0,,,
ihme-digestive-diseases,Digestive diseases,"This Level 2 cause encompasses estimates of death and disability from all digestive diseases specified in the GBD cause list (eg, peptic ulcer disease, appendicitis) and from multiple digestive diseases summarised in the category of “other digestive diseases.""
All digestive diseases together resulted in 89·0 million (95% UI 81·4–97·6) global DALYs in 2019 and were responsible for 3·5% (3·3–3·8) of total global DALYs.
",% ?,Non-communicable diseases,None,DALY?,ihme,IHME,http://ghdx.healthdata.org/gbd-results-tool,2.0,,,
ihme-peptic-ulcer-disease,Peptic ulcer disease,"This cause comprises death and disability due to defects in the lining of the stomach or duodenum that extend through the muscularis mucosa into deeper layers, primarily due to infection with Helicobacter pylori or use of non-steroidal anti-inflammatory drugs.
Peptic ulcer disease resulted in 6·03 million (95% UI 5·59–6·64) global DALYs in 2019, down from 8·20 million (7·58–8·97) global DALYs in 1990.
",% ?,Upper digestive system diseases,None,DALY?,ihme,IHME,http://ghdx.healthdata.org/gbd-results-tool,2.0,,,
ihme-gastritis-and-duodenitis,Gastritis and duodenitis,"This cause comprises death and disability resulting from damage and regeneration to lining of stomach or duodenum, with or without inflammation, but without ulceration. This can result from diverse aetiologies, but is primarily due to infection with Helicobacter pylori or use of non-steroidal anti-inflammatory drugs.
Gastritis and duodenitis resulted in 2·81 million (95% UI 2·09–3·79) global DALYs in 2019.
",% ?,Upper digestive system diseases,None,DALY?,ihme,IHME,http://ghdx.healthdata.org/gbd-results-tool,2.0,,,
ihme-appendicitis,Appendicitis,"This Level 3 cause incorporates death and disability resulting from an inflammation of the appendix.
17·7 million (95% UI 14·1–22·3) cases of appendicitis occurred in 2019, resulting in 33 400 deaths (27 300–38 100) and 1·50 million (1·24–1·71) global DALYs.
",% ?,Digestive diseases,None,DALY?,ihme,IHME,http://ghdx.healthdata.org/gbd-results-tool,2.0,,30.0,41.0
ihme-paralytic-ileus-and-intestinal-obstruction,Paralytic ileus and intestinal obstruction,"This Level 3 cause incorporates death and disability resulting from a lack of digestive propulsion caused by failed peristalsis.
10·1 million (95% UI 9·75–10·4) cases of paralytic ileus and intestinal obstruction occurred in 2019, resulting in 239 000 deaths (199 000–266 000) and 7·08 million (5·65–8·25) global DALYs.
",% ?,Digestive diseases,None,DALY?,ihme,IHME,http://ghdx.healthdata.org/gbd-results-tool,2.0,,30.0,41.0
"ihme-inguinal,-femoral,-and-abdominal-hernia","Inguinal, femoral, and abdominal hernia","This Level 3 cause incorporates death and disability resulting from hernias in which portions of the digestive tract protrude through defects in the walls of the abdominal cavity.
There were 32·5 million (95% UI 27·7–37·8) prevalent cases of inguinal, femoral, and abdominal hernia in 2019, resulting in 48 100 deaths (41 700–54 000) and 3·35 million (2·61–4·25) global DALYs.
",% ?,Digestive diseases,None,DALY?,ihme,IHME,http://ghdx.healthdata.org/gbd-results-tool,2.0,,30.0,41.0
ihme-inflammatory-bowel-disease,Inflammatory bowel disease,"This Level 3 cause incorporates death and disability from ulcerative colitis, Crohn’s disease, and indeterminate cases of non-infectious inflammatory bowel disease—autoimmune diseases characterised by inflammation of the colon and gastrointestinal tract.
There were 4·90 million (95% UI 4·35–5·50) prevalent cases of inflammatory bowel disease in 2019, resulting in 41 000 deaths (34 900–44 700) and 1·62 million (1·36–1·92) global DALYs.
",% ?,Digestive diseases,None,DALY?,ihme,IHME,http://ghdx.healthdata.org/gbd-results-tool,2.0,,30.0,41.0
ihme-vascular-intestinal-disorders,Vascular intestinal disorders,"This Level 3 cause incorporates death and disability resulting from ischaemic disorders and vascular malformations of the digestive tract.
1·46 million (95% UI 1·26–1·65) cases of vascular intestinal disorders occurred in 2019, resulting in 107 000 deaths (95 100–116 000) and 1·87 million (1·72–2·03) global DALYs.
",% ?,Digestive diseases,None,DALY?,ihme,IHME,http://ghdx.healthdata.org/gbd-results-tool,2.0,,30.0,41.0
ihme-gallbladder-and-biliary-diseases,Gallbladder and biliary diseases,"This Level 3 cause incorporates death and disability resulting from gallbladder and biliary diseases, such as gallstones, cholecystitis, and cholangitis.
193 million (95% UI 167–229) prevalent cases of gallbladder and biliary diseases occurred in 2019, resulting in 125 000 deaths (107 000–139 000) and 6·35 million (4·87–8·25) global DALYs.
",% ?,Digestive diseases,None,DALY?,ihme,IHME,http://ghdx.healthdata.org/gbd-results-tool,2.0,,30.0,41.0
ihme-pancreatitis,Pancreatitis,"This Level 3 cause incorporates death and disability resulting from inflammation of the pancreas; morbidity due to both acute episodes and chronic inflammatory changes is included.
2·81 million (95% UI 2·41–3·29) cases of pancreatitis occurred in 2019, resulting in 2·41 million (2·16–2·64) prevalent cases, 115 000 deaths (104 000–128 000), and 3·64 million (3·28–4·03) global DALYs.
",% ?,Digestive diseases,None,DALY?,ihme,IHME,http://ghdx.healthdata.org/gbd-results-tool,2.0,,30.0,41.0
ihme-gastroesophageal-reflux-disease,Gastroesophageal reflux disease,"GERD results when reflux of stomach contents into the oesophagus causes bothersome symptoms or complications. Only non-fatal health loss directly attributable to reflux is reflected here.
Gastro-oesophageal reflux disease (GERD) resulted in 6·03 million (95% UI 3·10–10·8) global YLDs in 2019 and was responsible for 0·7% (0·4–1·1) of total global YLDs.
",% ?,Upper digestive system diseases,None,DALY?,ihme,IHME,http://ghdx.healthdata.org/gbd-results-tool,2.0,,,
"ihme-endocrine,-metabolic,-blood,-and-immune-disorders","Endocrine, metabolic, blood, and immune disorders","This Level 3 cause incorporates death and disability resulting from a residual group of conditions consisting mainly of thyroid disorders, rare metabolic and immune disorders, and blood disorders not resulting in anaemia.
There were 521 million (95% UI 459–594) prevalent cases of endocrine, metabolic, blood, and immune disorders (EMBID) in 2019, resulting in 162 000 deaths (131 000–179 000) and 22·9 million (17·0–30·0) global DALYs.
",% ?,Other non-communicable diseases,None,DALY?,ihme,IHME,http://ghdx.healthdata.org/gbd-results-tool,2.0,,30.0,41.0
ihme-musculoskeletal-disorders,Musculoskeletal disorders,"This aggregate cause incorporates death and, mostly, disability resulting from rheumatoid arthritis, osteoarthritis, low back pain, neck pain, gout, and a large residual category of other musculoskeletal disorders.
Musculoskeletal disorders was responsible for 150 million (95% UI 109–198) DALYs, or 5·9% (4·6–7·3) of total DALYs in 2019, 98·1% (97·3–98·7) of which were YLDs.
",% ?,Non-communicable diseases,None,DALY?,ihme,IHME,http://ghdx.healthdata.org/gbd-results-tool,2.0,,,
ihme-rheumatoid-arthritis,Rheumatoid arthritis,"RA is a systemic autoimmune disorder that causes pain, swelling, and deformation of the joints and may be accompanied by systemic symptoms. The reference case definition for RA is based on the 1987 criteria by the American College of Rheumatology.
Rheumatoid arthritis (RA) resulted in 3·26 million (95% UI 2·51–4·09) global DALYs in 2019 and was responsible for 0·1% (0·1–0·2) of total global DALYs. 74·2% (65·8–80·6) of RA DALYs were due to YLDs.
",% ?,Musculoskeletal disorders,None,DALY?,ihme,IHME,http://ghdx.healthdata.org/gbd-results-tool,2.0,,30.0,41.0
ihme-osteoarthritis,Osteoarthritis,"OA is the most common form of arthritis, involving chronic inflammation, breakdown, and structural alterations of whole joints.
Osteoarthritis (OA) resulted in 18·9 million (95% UI 9·57–37·7) global YLDs in 2019 and was responsible for 2·2% (1·3–4·1) of total global YLDs. OA knee, hip, hand, and other site contributed 60·9%, 5·5%, 23·5%, and 10·2% of OA YLDs, respectively.
",% ?,Musculoskeletal disorders,None,DALY?,ihme,IHME,http://ghdx.healthdata.org/gbd-results-tool,2.0,,30.0,41.0
ihme-low-back-pain,Low back pain,"Low back pain is defined as pain in the area on the posterior aspect of the body from the lower margin of the twelfth ribs to the lower gluteal folds (with or without pain referred into one or both lower limbs) that lasts for at least one day.
Low back pain was the leading Level 3 cause of YLDs, responsible for 63·7 million (95% UI 45·0–85·2) YLDs, or 7·4% (6·2–8·7) of total global YLDs in 2019.
",% ?,Musculoskeletal disorders,None,DALY?,ihme,IHME,http://ghdx.healthdata.org/gbd-results-tool,2.0,,30.0,41.0
ihme-hemolytic-disease-and-other-neonatal-jaundice,Hemolytic disease and other neonatal jaundice,"Elevated total serum bilirubin (TSB) as manifested by EHB (TSB >25 mg/dl) and kernicterus (bilirubin-induced brain injury). Underlying causes include Rhesus disease, prematurity, glucose-6-phosphate dehydrogenase deficiency, and other causes.
Neonatal haemolytic disease caused 52 700 deaths (95% UI 43 400–63 400) in 2019 (1·0% [0·9–1·2] of deaths under 5) and caused 0·3% (0·2–0·3) of YLDs among children and adolescents (<20 years).
",% ?,Neonatal disorders,None,DALY?,ihme,IHME,http://ghdx.healthdata.org/gbd-results-tool,2.0,,,
ihme-other-neonatal-disorders,Other neonatal disorders,"Causes of death and disability in the neonatal period (first 28 days of life) not separately defined in the GBD. The top three coded causes of death in this category are newborn haemorrhage, cardiovascular disorders, and consequences of maternal conditions.
Other neonatal disorders caused 373 000 deaths (95% UI 311 000–452 000) in 2019, making up 7·4% (6·7–8·0) of deaths under 5. Other neonatal disorders also caused 0·6% (0·5–0·8) of YLDs among children and adolescents (<20 years) in 2019.
",% ?,Neonatal disorders,None,DALY?,ihme,IHME,http://ghdx.healthdata.org/gbd-results-tool,2.0,,,
ihme-nutritional-deficiencies,Nutritional deficiencies,"This aggregate cause incorporates death and disability due to nutritional deficiencies including protein-energy malnutrition, iodine deficiency, vitamin A deficiency, iron deficiency, and other nutritional deficiencies.
Globally, nutritional deficiencies resulted in 49·8 million (36·9–65·8) DALYs and 252 000 deaths (221 000–289 000) in 2019. They caused 9·79 million (7·60–12·3) DALYs in children aged 1–5.
",% ?,"Communicable, maternal, neonatal, and nutritional diseases",None,DALY?,ihme,IHME,http://ghdx.healthdata.org/gbd-results-tool,2.0,,,
ihme-protein-energy-malnutrition,Protein-energy malnutrition,"Protein-energy malnutrition is health loss associated with moderate and severe acute wasting. PEM is further divided into moderate wasting without oedema, moderate wasting with oedema, severe wasting without oedema, and severe wasting with oedema.
Protein-energy malnutrition (PEM) caused 212 000 deaths (95% UI 185 000–246 000) in 2019, comprising 1·9% (1·5–2·2) of deaths among children under 5 years. PEM also caused 1·8% (1·4–2·2) of YLDs among children and adolescents (under 20 years).
",% ?,Nutritional deficiencies,None,DALY?,ihme,IHME,http://ghdx.healthdata.org/gbd-results-tool,2.0,,30.0,41.0
ihme-iodine-deficiency,Iodine deficiency,"This cause incorporates disability due to visible goiter (grade 2) and associated sequelae, including thyroid dysfunction, heart failure, and intellectual disability. Sub-clinical iodine deficiency and non-visible goiter (grade 1) are not incorporated into these estimates.
In 2019, iodine deficiency had a global prevalence of 2·4% (95% UI 1·9–2·9) and accounted for 2·44 million (1·37–4·24) DALYs globally. Iodine deficiency led to 919 000 DALYs (526 000–1 560 000) in males and 1·52 million (0·843–2·70) DALYs in females in 2019.
",% ?,Nutritional deficiencies,None,DALY?,ihme,IHME,http://ghdx.healthdata.org/gbd-results-tool,2.0,,30.0,41.0
ihme-vitamin-a-deficiency,Vitamin A deficiency,"This cause quantifies total vitamin A deficiency (defined as serum retinol <0.70 μmol/L) and disability from blindness and vision loss due to vitamin A deficiency.
In 2019, Vitamin A deficiency was responsible for 1·18 million (95% UI 0·805–1·64) DALYs globally, including 506 000 DALYs (337 000–720 000) in children under the age of 5.
",% ?,Nutritional deficiencies,None,DALY?,ihme,IHME,http://ghdx.healthdata.org/gbd-results-tool,2.0,,30.0,41.0
ihme-intracerebral-hemorrhage,Intracerebral hemorrhage,"Stroke was defined according to WHO criteria of rapidly developing clinical signs of (usually focal) disturbance of cerebral function lasting >24 hours or leading to death. Intracerebral haemorrhage was defined as stroke with a focal collection of blood in the brain not due to trauma.
In 2019, intracerebral haemorrhage was the sixth-leading Level 4 cause of global DALYs at 68·6 million (95% UI 63·3–73·7), causing 2·89 million (2·64–3·10) deaths. There were 582 000 deaths (530 000–632 000) for ages 40–59 years and 2·21 million (2·01–2·37) deaths in those 60 years and older.
",% ?,Stroke,None,DALY?,ihme,IHME,http://ghdx.healthdata.org/gbd-results-tool,2.0,,,
ihme-subarachnoid-hemorrhage,Subarachnoid hemorrhage,"Subarachnoid haemorrhage was defined as non-traumatic stroke due to bleeding into the subarachnoid space of the brain. We model first-ever subarachnoid haemorrhage from the day of incidence through 28 days and separately model survival beyond 28 days.
In 2019, subarachnoid haemorrhage was the 53rd-leading cause of global DALYs at 11·2 million (95% UI 9·89–12·7), with 373 000 deaths (330 000–416 000). There were 103 000 deaths (88 600–122 000) among those aged 40–59 years and 240 000 deaths (211 000–263 000) in ages over 60.
",% ?,Stroke,None,DALY?,ihme,IHME,http://ghdx.healthdata.org/gbd-results-tool,2.0,,,
ihme-hypertensive-heart-disease,Hypertensive heart disease,"Hypertensive heart disease is structural heart disease defined by its underlying cause (systemic hypertension), resulting in left ventricular hypertrophy, diastolic dysfunction, and clinical heart failure with either preserved or reduced systolic function.
Hypertensive heart disease resulted in 21·5 million (95% UI 16·4–23·9) global DALYs in 2019, and led to 496 000 deaths (345 000–558 000) in males and 661 000 deaths (505 000–750 000) in females.
",% ?,Cardiovascular diseases,None,DALY?,ihme,IHME,http://ghdx.healthdata.org/gbd-results-tool,2.0,,30.0,41.0
ihme-cardiomyopathy-and-myocarditis,Cardiomyopathy and myocarditis,"This aggregate Level 3 cause incorporates death and disability resulting from cardiomyopathy and myocarditis. This group consists of the Level 4 causes alcoholic cardiomyopathy, myocarditis, and other cardiomyopathy.
Cardiomyopathy and myocarditis (CMP) was responsible for 9·14 million (95% UI 7·86–10·0) DALYs in 2019. In 2019, there were 2·30 million (1·78–2·94) prevalent cases of CMP in males and 1·76 million (1·35–2·30) prevalent cases in females.
",% ?,Cardiovascular diseases,None,DALY?,ihme,IHME,http://ghdx.healthdata.org/gbd-results-tool,2.0,,30.0,41.0
ihme-atrial-fibrillation-and-flutter,Atrial fibrillation and flutter,"Atrial fibrillation, a supraventricular arrhythmia due to progressive atriopathy, is defined by surface ECG diagnosis based on irregular RR intervals (in the absence of complete AV block) and no distinct P waves. Atrial flutter is defined by surface ECG diagnosis of atrial flutter waves.
There were 8·39 million (95% UI 6·69–10·5) DALYs due to atrial fibrillation and flutter in 2019, a 121·6% (111·5–132·0) increase from 1990. In 2019, there were 194 000 deaths (161 000–225 000) due to atrial fibrillation and flutter in females and 122 000 deaths (97 400–148 000) in males.
",% ?,Cardiovascular diseases,None,DALY?,ihme,IHME,http://ghdx.healthdata.org/gbd-results-tool,2.0,,30.0,41.0
ihme-aortic-aneurysm,Aortic aneurysm,"Aortic aneurysms represent full-thickness dilation of the aorta, usually due to atherosclerosis, elevated blood pressure, or inflammation of the blood vessel. We include both abdominal and thoracic aortic aneurysms in our estimates of cause-specific mortality.
Aortic aneurysm was responsible for 3·32 million (95% UI 3·11–3·52) YLLs in 2019. There were 172 000 (157 000–183 000) deaths due to aortic aneurysms in 2019, an 82·1% (67·3–97·0) increase from 1990. Non-fatal burden is not currently estimated for aortic aneurysm.
",% ?,Cardiovascular diseases,None,DALY?,ihme,IHME,http://ghdx.healthdata.org/gbd-results-tool,2.0,,30.0,41.0
ihme-peripheral-artery-disease,Peripheral artery disease,"Peripheral artery disease is a Level 3 cause defined as having an ankle-brachial index (ABI) of less than 0·90, with intermittent claudication defined as leg pain on exertion among those with an ABI below that threshold.
Peripheral artery disease (PAD) was responsible for 1·54 million (95% UI 1·01–2·37) DALYs in 2019. In 2019, there were 56·4 million (46·9–65·5) prevalent cases of PAD among those aged 40–70 and 57·0 million (95% UI 47·9–67·3) prevalent cases in those above age 70.
",% ?,Cardiovascular diseases,None,DALY?,ihme,IHME,http://ghdx.healthdata.org/gbd-results-tool,2.0,,30.0,41.0
ihme-endocarditis,Endocarditis,"The case definition for acute endocarditis was a clinical diagnosis of infective endocarditis—a bacterial or fungal infection of the heart, usually adherent to heart valves or chordae. The long-term sequelae of heart failure due to endocarditis are reported separately.
Endocarditis accounted for 66 300 deaths (95% UI 46 200–75 900) in 2019, a 131% (57·6–189) increase from 1990. In 2019, there were 610 000 incident cases (514 000–719 000) of acute endocarditis in males and 480 000 incident cases (402 000–575 000) in females.
",% ?,Cardiovascular diseases,None,DALY?,ihme,IHME,http://ghdx.healthdata.org/gbd-results-tool,2.0,,30.0,41.0
ihme-non-rheumatic-valvular-heart-disease,Non-rheumatic valvular heart disease,"Non-rheumatic valvular heart disease is an aggregate of three Level 4 causes: calcific aortic valve disease, degenerative mitral valve disease, and other non-rheumatic valve diseases.
Non-rheumatic valvular heart disease (NRVD) caused 2·79 million (95% UI 2·52–3·13) DALYs in 2019, a 67·6% (55·1–80·8) increase from 1990. In 2019, NRVD led to 68 100 deaths (61 100–73 300) in males and 96 000 deaths (78 400–108 000) in females.
",% ?,Cardiovascular diseases,None,DALY?,ihme,IHME,http://ghdx.healthdata.org/gbd-results-tool,2.0,,30.0,41.0
ihme-all-causes,All causes,Definition not available,% ?,All causes,None,DALY?,ihme,IHME,http://ghdx.healthdata.org/gbd-results-tool,1.0,,,
"ihme-communicable,-maternal,-neonatal,-and-nutritional-diseases","Communicable, maternal, neonatal, and nutritional diseases","This aggregate cause contains seven Level 2 causes: HIV/AIDS and sexually-transmitted infections, respiratory infections and tuberculosis, enteric infections, neglected tropical diseases and malaria, other infectious diseases, maternal and neonatal disorders, and nutritional deficiencies.
CMNN diseases caused 10·2 million (95% UI 9·19–11·4) deaths, 669 million (593–758) DALYs, and 104 million (77·1–137) YLDs, in 2019 globally for all ages, which represented a 36·3% (29·1–42·3) decrease in deaths, a 44·4% (37·4–50·5) decrease in DALYs, and a 22·1% (18·2–26·8) increase in YLDs from 1990.
",% ?,All causes,None,DALY?,ihme,IHME,http://ghdx.healthdata.org/gbd-results-tool,2.0,,,
ihme-dietary-iron-deficiency,Dietary iron deficiency,"Dietary iron deficiency is defined as inadequate dietary intake of elemental iron leading to anaemia. Other conditions leading to iron deficiency are not included here, but instead with each underlying cause. Iron deficiency in the absence of anaemia is also not included.
In 2019, iron deficiency had a global prevalence of 14·4% (14·1–14·6) and accounted for 28·5 million (19·1–41·1) DALYs globally.
",% ?,Nutritional deficiencies,None,DALY?,ihme,IHME,http://ghdx.healthdata.org/gbd-results-tool,2.0,,30.0,41.0
ihme-other-nutritional-deficiencies,Other nutritional deficiencies,"This aggregate cause incorporates death and disability from less common nutritional deficiencies that are not modelled independently, including vitamin deficiency anaemias, thiamine, niacin, vitamin D, vitamin C, calcium, selenium, and folate deficiency.
Other nutritional deficiencies were responsible for 2·37 million (1·88–2·95) DALYs and 39 300 deaths (33 800–45 900) globally in 2019.
",% ?,Nutritional deficiencies,None,DALY?,ihme,IHME,http://ghdx.healthdata.org/gbd-results-tool,2.0,,30.0,41.0
ihme-sexually-transmitted-infections-excluding-hiv,Sexually transmitted infections excluding HIV,"STIs are viral, bacterial, or parasitic infections that are transmitted through sexual contact. This aggregate group includes syphilis, chlamydia, gonorrhoea, genital herpes, trichomoniasis, and a residual category of other sexually transmitted infections.
Sexually transmitted infections (STIs) that are not HIV resulted in 8·57 million (95% UI 3·79–16·5) global DALYs in 2019. Deaths from neonatal syphilis contributed 62·3% (47·9–70·4) of total DALYs in this category.
",% ?,HIV/AIDS and sexually transmitted infections,None,DALY?,ihme,IHME,http://ghdx.healthdata.org/gbd-results-tool,2.0,,30.0,41.0
ihme-syphilis,Syphilis,"Syphilis is an STI caused by the bacterium Treponema pallidum. This cause includes congenital syphilis deaths, and, in adults, deaths and disability from the acute infection and neurological and cardiovascular sequelae in untreated individuals.
Syphilis resulted in 7·36 million (95% UI 2·58–15·0) DALYs in 2019. Congenital syphilis deaths accounted for 95·2% (89·5–98·1) of the total YLLs from all sexually transmitted infections (STIs) that are not HIV.
",% ?,Sexually transmitted infections excluding HIV,None,DALY?,ihme,IHME,http://ghdx.healthdata.org/gbd-results-tool,2.0,,,
ihme-chlamydial-infection,Chlamydial infection,"Chlamydia is a sexually transmitted infection caused by the Chlamydia trachomatis bacteria. Severe infections can lead to epididymo-orchitis in males or pelvic inflammatory disease in females, which can lead to female infertility.
Chlamydia resulted in 160 000 global DALYs (95% UI 114 000–223 000) in 2019, accounting for 2·1% (0·9–4·4) of DALYs from all sexually transmitted infections excluding HIV.
",% ?,Sexually transmitted infections excluding HIV,None,DALY?,ihme,IHME,http://ghdx.healthdata.org/gbd-results-tool,2.0,,,
ihme-gonococcal-infection,Gonococcal infection,"Gonorrhoea is a sexually transmitted infection caused by the Neisseria gonorrhoea bacterium. Severe infections can lead to epididymo-orchitis in males or pelvic inflammatory disease in females which can lead to female infertility.
Gonorrhoea resulted in 163 000 global DALYs (95% UI 133 000–195 000) in 2019, accounting for 2·2% (1·0–4·4) of DALYs from all sexually transmitted infections excluding HIV.
",% ?,Sexually transmitted infections excluding HIV,None,DALY?,ihme,IHME,http://ghdx.healthdata.org/gbd-results-tool,2.0,,,
ihme-trichomoniasis,Trichomoniasis,"Trichomoniasis is a sexually transmitted infection caused by the Trichomonas vaginalis bacterium. No mortality is assumed from this sexually transmitted infection.
Trichomoniasis resulted in 287 000 global DALYs (95% UI 113 000–592 000) in 2019, accounting for 3·8% (1·2–10·2) of DALYs from all sexually transmitted infections excluding HIV.
",% ?,Sexually transmitted infections excluding HIV,None,DALY?,ihme,IHME,http://ghdx.healthdata.org/gbd-results-tool,2.0,,,
ihme-genital-herpes,Genital herpes,"Herpes is a sexually transmitted infection caused by the herpes simplex virus (HSV). Estimates are for genital herpes due to HSV-2 only, not HSV-1 or oral herpes due to HSV-2. Disability reflects recurrent outbreaks over the life course. No mortality is assumed.
Genital herpes resulted in 253 000 global DALYs (95% UI 81 700–628 000) in 2019, accounting for 3·4% (0·9–9·1) of DALYs from all sexually transmitted infections excluding HIV.
",% ?,Sexually transmitted infections excluding HIV,None,DALY?,ihme,IHME,http://ghdx.healthdata.org/gbd-results-tool,2.0,,,
ihme-other-sexually-transmitted-infections,Other sexually transmitted infections,"Other sexually transmitted infections is a residual category after exclusion of HIV, syphilis, chlamydia, gonorrhoea, herpes, and trichomoniasis. It comprises chancroid, granuloma inguinale, and unspecified sexually transmitted diseases.
Other sexually transmitted infections resulted in 345 000 global DALYs (95% UI 248 000–465 000) in 2019, which accounted for 4·6% (2·0–9·2) of DALYs from all sexually transmitted infections excluding HIV.
",% ?,Sexually transmitted infections excluding HIV,None,DALY?,ihme,IHME,http://ghdx.healthdata.org/gbd-results-tool,2.0,,,
ihme-foreign-body-in-other-body-part,Foreign body in other body part,"Unintentional death or disability resulting from an extraneous material or substance being within the body, not including the airway, lungs, or eyes.
Foreign body in other body part injury was responsible for 5460 deaths (95% UI 4580–6470) in 2019. Age-standardised incidence rates were highest in New Zealand, Australia, and South Africa.
",% ?,Foreign body,None,DALY?,ihme,IHME,http://ghdx.healthdata.org/gbd-results-tool,2.0,,,
